time,state_abbr,precip
2019-04-01,AK,0.7149286
2019-04-01,AL,6.748787
2019-04-01,AR,5.9975805
2019-04-01,AZ,0.5446103
2019-04-01,CA,1.0125333
2019-04-01,CO,1.7243699
2019-04-01,FL,2.1584759
2019-04-01,GA,4.7871685
2019-04-01,IA,3.3002257
2019-04-01,ID,1.6062702
2019-04-01,IL,3.8751693
2019-04-01,IN,3.7436585
2019-04-01,KS,4.079963
2019-04-01,MD,4.5038896
2019-04-01,ME,3.088696
2019-04-01,MI,2.9245121
2019-04-01,MN,2.5337656
2019-04-01,MO,4.622562
2019-04-01,MS,6.5902324
2019-04-01,MT,1.307591
2019-04-01,NC,4.4382076
2019-04-01,ND,2.6323094
2019-04-01,NE,1.8736308
2019-04-01,NH,2.995355
2019-04-01,NM,0.9851642
2019-04-01,NV,1.3760947
2019-04-01,NY,5.7073436
2019-04-01,OH,4.3577576
2019-04-01,OK,5.3657317
2019-04-01,OR,2.3658404
2019-04-01,PA,3.7168934
2019-04-01,SC,4.0913877
2019-04-01,SD,1.7602367
2019-04-01,TN,4.759137
2019-04-01,TX,4.354437
2019-04-01,UT,1.5418129
2019-04-01,VA,4.3839264
2019-04-01,WA,2.8634088
2019-04-01,WI,3.1306448
2019-04-01,WV,4.6650653
2019-04-01,WY,1.6562927
2019-05-01,AK,1.5815877
2019-05-01,AL,3.318542
2019-05-01,AR,7.2781844
2019-05-01,AZ,0.7897912
2019-05-01,CA,1.8413378
2019-05-01,CO,2.2088563
2019-05-01,FL,2.0558057
2019-05-01,GA,1.8610634
2019-05-01,IA,9.611219
2019-05-01,ID,2.278099
2019-05-01,IL,4.921462
2019-05-01,IN,4.5984783
2019-05-01,KS,7.95202
2019-05-01,MD,5.409598
2019-05-01,ME,2.7839048
2019-05-01,MI,3.2894313
2019-05-01,MN,3.0775938
2019-05-01,MO,7.2348166
2019-05-01,MS,5.8140626
2019-05-01,MT,2.3561926
2019-05-01,NC,3.0189898
2019-05-01,ND,2.5752163
2019-05-01,NE,4.412754
2019-05-01,NH,2.1664374
2019-05-01,NM,1.3653048
2019-05-01,NV,2.2999468
2019-05-01,NY,4.7185593
2019-05-01,OH,4.1561246
2019-05-01,OK,9.614768
2019-05-01,OR,1.5432595
2019-05-01,PA,4.6569
2019-05-01,SC,1.9208244
2019-05-01,SD,4.317971
2019-05-01,TN,3.4849179
2019-05-01,TX,5.4266696
2019-05-01,UT,1.9950333
2019-05-01,VA,5.042183
2019-05-01,WA,1.4711039
2019-05-01,WI,4.431898
2019-05-01,WV,4.4023952
2019-05-01,WY,2.8557136
2018-01-01,AK,1.313776
2018-01-01,AL,2.48378
2018-01-01,AR,1.8387103
2018-01-01,AZ,0.5833736
2018-01-01,CA,3.0013845
2018-01-01,CO,0.51986134
2018-01-01,FL,2.2313309
2018-01-01,GA,2.688003
2018-01-01,IA,1.1563033
2018-01-01,ID,2.03416
2018-01-01,IL,1.5945286
2018-01-01,IN,1.785105
2018-01-01,KS,0.44617286
2018-01-01,MD,2.5795262
2018-01-01,ME,4.3426275
2018-01-01,MI,2.3139942
2018-01-01,MN,0.5747898
2018-01-01,MO,1.3659372
2018-01-01,MS,3.7411633
2018-01-01,MT,0.78940463
2018-01-01,NC,3.3656456
2018-01-01,ND,0.2008633
2018-01-01,NE,0.48325315
2018-01-01,NH,4.1850753
2018-01-01,NM,0.28426006
2018-01-01,NV,1.2001486
2018-01-01,NY,3.4531202
2018-01-01,OH,2.0953028
2018-01-01,OK,0.38309342
2018-01-01,OR,3.6794405
2018-01-01,PA,3.1975625
2018-01-01,SC,2.6466424
2018-01-01,SD,0.29004666
2018-01-01,TN,2.417279
2018-01-01,TX,0.7746235
2018-01-01,UT,0.8377495
2018-01-01,VA,2.0563557
2018-01-01,WA,4.3501534
2018-01-01,WI,1.3915373
2018-01-01,WV,2.2362192
2018-01-01,WY,0.509366
2018-02-01,AK,1.6350856
2018-02-01,AL,7.2521086
2018-02-01,AR,9.411072
2018-02-01,AZ,0.5758548
2018-02-01,CA,1.2050749
2018-02-01,CO,0.7593139
2018-02-01,FL,0.78039014
2018-02-01,GA,5.3556547
2018-02-01,IA,2.7863045
2018-02-01,ID,1.6126648
2018-02-01,IL,5.25992
2018-02-01,IN,6.780913
2018-02-01,KS,0.6083109
2018-02-01,MD,4.795645
2018-02-01,ME,2.7899516
2018-02-01,MI,3.019139
2018-02-01,MN,0.91879433
2018-02-01,MO,4.017644
2018-02-01,MS,7.690994
2018-02-01,MT,1.3013113
2018-02-01,NC,3.3385823
2018-02-01,ND,0.5194182
2018-02-01,NE,0.7027956
2018-02-01,NH,3.8715153
2018-02-01,NM,0.52764314
2018-02-01,NV,0.5650728
2018-02-01,NY,4.771246
2018-02-01,OH,5.836969
2018-02-01,OK,2.5103204
2018-02-01,OR,2.6346724
2018-02-01,PA,5.3309045
2018-02-01,SC,2.7658346
2018-02-01,SD,0.8846589
2018-02-01,TN,8.970061
2018-02-01,TX,2.6291125
2018-02-01,UT,0.64420795
2018-02-01,VA,4.681599
2018-02-01,WA,3.0399635
2018-02-01,WI,2.0282774
2018-02-01,WV,6.8184114
2018-02-01,WY,0.73796856
2018-03-01,AK,1.6497315
2018-03-01,AL,3.3294678
2018-03-01,AR,4.018053
2018-03-01,AZ,0.56597847
2018-03-01,CA,3.0625434
2018-03-01,CO,0.7508769
2018-03-01,FL,0.9411826
2018-03-01,GA,3.3614202
2018-03-01,IA,2.179143
2018-03-01,ID,1.4967835
2018-03-01,IL,3.062139
2018-03-01,IN,3.0613675
2018-03-01,KS,0.9528683
2018-03-01,MD,2.52417
2018-03-01,ME,2.0703688
2018-03-01,MI,1.2059823
2018-03-01,MN,1.3076541
2018-03-01,MO,2.8856542
2018-03-01,MS,4.2821774
2018-03-01,MT,0.97918344
2018-03-01,NC,3.3360379
2018-03-01,ND,1.2581525
2018-03-01,NE,1.2048197
2018-03-01,NH,2.5413847
2018-03-01,NM,0.3943481
2018-03-01,NV,1.687485
2018-03-01,NY,2.7871642
2018-03-01,OH,3.1822278
2018-03-01,OK,1.5914464
2018-03-01,OR,3.0889614
2018-03-01,PA,2.8002462
2018-03-01,SC,2.8100204
2018-03-01,SD,1.5752325
2018-03-01,TN,3.6927083
2018-03-01,TX,1.7807997
2018-03-01,UT,1.1409703
2018-03-01,VA,1.9380708
2018-03-01,WA,2.3152764
2018-03-01,WI,1.0190812
2018-03-01,WV,2.9359286
2018-03-01,WY,0.8425894
2018-04-01,AK,1.1934053
2018-04-01,AL,4.557561
2018-04-01,AR,3.8807778
2018-04-01,AZ,0.17023252
2018-04-01,CA,1.5531527
2018-04-01,CO,1.2033945
2018-04-01,FL,2.726162
2018-04-01,GA,4.2177105
2018-04-01,IA,0.7721068
2018-04-01,ID,1.8524872
2018-04-01,IL,2.1715622
2018-04-01,IN,2.8262455
2018-04-01,KS,1.0363389
2018-04-01,MD,3.2370918
2018-04-01,ME,4.0934515
2018-04-01,MI,2.2323878
2018-04-01,MN,0.83895653
2018-04-01,MO,1.4832131
2018-04-01,MS,5.545778
2018-04-01,MT,1.3637643
2018-04-01,NC,3.744219
2018-04-01,ND,0.7364115
2018-04-01,NE,1.0319622
2018-04-01,NH,4.1046023
2018-04-01,NM,0.3213019
2018-04-01,NV,0.98122704
2018-04-01,NY,3.7915425
2018-04-01,OH,3.558074
2018-04-01,OK,1.7741647
2018-04-01,OR,2.3430052
2018-04-01,PA,3.0315995
2018-04-01,SC,3.5650365
2018-04-01,SD,1.236446
2018-04-01,TN,4.634165
2018-04-01,TX,1.2554721
2018-04-01,UT,0.7823559
2018-04-01,VA,3.440831
2018-04-01,WA,2.9100094
2018-04-01,WI,1.5693922
2018-04-01,WV,3.9888525
2018-04-01,WY,1.1579472
2018-05-01,AK,1.5512967
2018-05-01,AL,4.4788995
2018-05-01,AR,2.9727051
2018-05-01,AZ,0.12991159
2018-05-01,CA,0.5879649
2018-05-01,CO,1.272665
2018-05-01,FL,8.191826
2018-05-01,GA,5.6518764
2018-05-01,IA,3.9929166
2018-05-01,ID,1.72745
2018-05-01,IL,3.7261236
2018-05-01,IN,3.6829948
2018-05-01,KS,3.6693041
2018-05-01,MD,5.923464
2018-05-01,ME,1.8290126
2018-05-01,MI,2.8965847
2018-05-01,MN,2.445137
2018-05-01,MO,3.5621352
2018-05-01,MS,3.418896
2018-05-01,MT,2.171344
2018-05-01,NC,5.6421223
2018-05-01,ND,1.747468
2018-05-01,NE,3.8722887
2018-05-01,NH,1.1657653
2018-05-01,NM,0.6727581
2018-05-01,NV,1.1598437
2018-05-01,NY,2.4269795
2018-05-01,OH,3.784682
2018-05-01,OK,4.2653294
2018-05-01,OR,1.0909606
2018-05-01,PA,4.047373
2018-05-01,SC,5.4435453
2018-05-01,SD,3.063095
2018-05-01,TN,4.4128146
2018-05-01,TX,2.1419344
2018-05-01,UT,0.8323356
2018-05-01,VA,5.253661
2018-05-01,WA,0.98233336
2018-05-01,WI,4.523205
2018-05-01,WV,4.316385
2018-05-01,WY,2.0935435
2018-06-01,AK,1.847035
2018-06-01,AL,4.4804688
2018-06-01,AR,2.5883372
2018-06-01,AZ,0.13096076
2018-06-01,CA,0.12138025
2018-06-01,CO,0.6973155
2018-06-01,FL,5.746914
2018-06-01,GA,4.6829967
2018-06-01,IA,6.356428
2018-06-01,ID,1.2737885
2018-06-01,IL,5.6246448
2018-06-01,IN,4.388344
2018-06-01,KS,3.8514462
2018-06-01,MD,3.8712392
2018-06-01,ME,2.6256452
2018-06-01,MI,3.1497219
2018-06-01,MN,4.622907
2018-06-01,MO,3.191136
2018-06-01,MS,3.5537395
2018-06-01,MT,2.4092789
2018-06-01,NC,3.6625898
2018-06-01,ND,3.5410612
2018-06-01,NE,4.7158794
2018-06-01,NH,2.929691
2018-06-01,NM,0.6637146
2018-06-01,NV,0.22644201
2018-06-01,NY,2.8802838
2018-06-01,OH,3.9504125
2018-06-01,OK,4.2490516
2018-06-01,OR,0.96901894
2018-06-01,PA,3.3579538
2018-06-01,SC,3.614478
2018-06-01,SD,4.4843965
2018-06-01,TN,4.025333
2018-06-01,TX,2.424258
2018-06-01,UT,0.26927006
2018-06-01,VA,4.305261
2018-06-01,WA,1.1538159
2018-06-01,WI,4.86402
2018-06-01,WV,3.655859
2018-06-01,WY,1.2968227
2018-07-01,AK,1.8628618
2018-07-01,AL,4.2229195
2018-07-01,AR,2.7935634
2018-07-01,AZ,1.4079019
2018-07-01,CA,0.2135959
2018-07-01,CO,1.4274898
2018-07-01,FL,6.328705
2018-07-01,GA,5.8541
2018-07-01,IA,2.123052
2018-07-01,ID,0.2835341
2018-07-01,IL,2.7008724
2018-07-01,IN,2.861653
2018-07-01,KS,3.636584
2018-07-01,MD,6.465511
2018-07-01,ME,2.8991115
2018-07-01,MI,2.6256092
2018-07-01,MN,2.9412456
2018-07-01,MO,2.3361435
2018-07-01,MS,4.8032365
2018-07-01,MT,0.72556853
2018-07-01,NC,5.830092
2018-07-01,ND,1.9813975
2018-07-01,NE,2.7468114
2018-07-01,NH,3.4383917
2018-07-01,NM,1.9414486
2018-07-01,NV,0.50248706
2018-07-01,NY,4.241428
2018-07-01,OH,3.1477034
2018-07-01,OK,2.9244344
2018-07-01,OR,0.12693365
2018-07-01,PA,6.349618
2018-07-01,SC,4.958841
2018-07-01,SD,3.33113
2018-07-01,TN,3.0033913
2018-07-01,TX,1.9812744
2018-07-01,UT,0.55489707
2018-07-01,VA,4.4487953
2018-07-01,WA,0.25978065
2018-07-01,WI,2.6380384
2018-07-01,WV,4.286261
2018-07-01,WY,0.85229313
2018-08-01,AK,3.082043
2018-08-01,AL,4.3353605
2018-08-01,AR,4.3687596
2018-08-01,AZ,1.2864814
2018-08-01,CA,0.093304254
2018-08-01,CO,1.1907579
2018-08-01,FL,5.5407686
2018-08-01,GA,4.8690414
2018-08-01,IA,5.0392756
2018-08-01,ID,0.3779235
2018-08-01,IL,3.8114626
2018-08-01,IN,4.1538105
2018-08-01,KS,3.5301466
2018-08-01,MD,4.461271
2018-08-01,ME,3.2095256
2018-08-01,MI,3.6056814
2018-08-01,MN,2.5804334
2018-08-01,MO,4.2679462
2018-08-01,MS,4.098806
2018-08-01,MT,0.8416082
2018-08-01,NC,4.873286
2018-08-01,ND,1.1617733
2018-08-01,NE,2.3472157
2018-08-01,NH,4.3400326
2018-08-01,NM,1.5091219
2018-08-01,NV,0.114610754
2018-08-01,NY,4.5358706
2018-08-01,OH,3.6900816
2018-08-01,OK,3.7863398
2018-08-01,OR,0.21006505
2018-08-01,PA,5.68943
2018-08-01,SC,3.4895105
2018-08-01,SD,1.5131627
2018-08-01,TN,3.4372604
2018-08-01,TX,1.9762615
2018-08-01,UT,0.54671407
2018-08-01,VA,4.131545
2018-08-01,WA,0.29922268
2018-08-01,WI,5.2202296
2018-08-01,WV,3.5055118
2018-08-01,WY,0.7786689
2018-09-01,AK,1.6525413
2018-09-01,AL,5.1652966
2018-09-01,AR,3.8550038
2018-09-01,AZ,0.3353523
2018-09-01,CA,0.15398718
2018-09-01,CO,0.5682033
2018-09-01,FL,3.9329293
2018-09-01,GA,2.6172457
2018-09-01,IA,5.618007
2018-09-01,ID,0.39124134
2018-09-01,IL,4.5290756
2018-09-01,IN,4.860913
2018-09-01,KS,2.9969637
2018-09-01,MD,5.639473
2018-09-01,ME,2.124779
2018-09-01,MI,3.6730974
2018-09-01,MN,3.9701145
2018-09-01,MO,2.8638983
2018-09-01,MS,5.530407
2018-09-01,MT,1.063777
2018-09-01,NC,6.093947
2018-09-01,ND,1.7967753
2018-09-01,NE,2.279936
2018-09-01,NH,3.672619
2018-09-01,NM,1.2191446
2018-09-01,NV,0.1279658
2018-09-01,NY,4.735095
2018-09-01,OH,5.15452
2018-09-01,OK,3.8357153
2018-09-01,OR,0.4426979
2018-09-01,PA,6.055773
2018-09-01,SC,4.153039
2018-09-01,SD,1.5731155
2018-09-01,TN,5.66797
2018-09-01,TX,5.477075
2018-09-01,UT,0.09769603
2018-09-01,VA,6.2655587
2018-09-01,WA,1.2221272
2018-09-01,WI,4.932615
2018-09-01,WV,6.7409396
2018-09-01,WY,0.26091155
2018-10-01,AK,2.5447924
2018-10-01,AL,2.4986792
2018-10-01,AR,4.608411
2018-10-01,AZ,1.9029471
2018-10-01,CA,0.55958325
2018-10-01,CO,1.8025079
2018-10-01,FL,1.6449916
2018-10-01,GA,3.0742154
2018-10-01,IA,4.74157
2018-10-01,ID,1.3287566
2018-10-01,IL,3.0669124
2018-10-01,IN,2.943669
2018-10-01,KS,4.594461
2018-10-01,MD,3.3295307
2018-10-01,ME,3.3428626
2018-10-01,MI,4.8040485
2018-10-01,MN,2.3925834
2018-10-01,MO,4.7075343
2018-10-01,MS,2.2375863
2018-10-01,MT,0.8773712
2018-10-01,NC,3.2391815
2018-10-01,ND,1.1662744
2018-10-01,NE,2.000205
2018-10-01,NH,3.6309628
2018-10-01,NM,2.1584737
2018-10-01,NV,0.5371699
2018-10-01,NY,3.2614808
2018-10-01,OH,3.011913
2018-10-01,OK,5.7907424
2018-10-01,OR,1.3091654
2018-10-01,PA,3.6887035
2018-10-01,SC,3.4590185
2018-10-01,SD,1.1640558
2018-10-01,TN,2.8734133
2018-10-01,TX,5.925578
2018-10-01,UT,1.4671148
2018-10-01,VA,3.3792129
2018-10-01,WA,2.4899888
2018-10-01,WI,3.9051154
2018-10-01,WV,3.2088866
2018-10-01,WY,1.1400301
2018-11-01,AK,1.9564751
2018-11-01,AL,5.674696
2018-11-01,AR,3.3556209
2018-11-01,AZ,0.26514524
2018-11-01,CA,2.398903
2018-11-01,CO,0.6403449
2018-11-01,FL,1.4511652
2018-11-01,GA,5.4642286
2018-11-01,IA,1.9361079
2018-11-01,ID,1.9313084
2018-11-01,IL,2.5532885
2018-11-01,IN,3.3110752
2018-11-01,KS,0.9263625
2018-11-01,MD,6.2284184
2018-11-01,ME,4.6708207
2018-11-01,MI,2.459921
2018-11-01,MN,0.84366673
2018-11-01,MO,1.81385
2018-11-01,MS,5.840876
2018-11-01,MT,1.1249931
2018-11-01,NC,5.18552
2018-11-01,ND,0.8685468
2018-11-01,NE,0.88838625
2018-11-01,NH,6.6932144
2018-11-01,NM,0.2390213
2018-11-01,NV,1.0693407
2018-11-01,NY,6.2469044
2018-11-01,OH,4.0218782
2018-11-01,OK,0.97895235
2018-11-01,OR,3.2022693
2018-11-01,PA,5.3273387
2018-11-01,SC,4.791549
2018-11-01,SD,0.7856005
2018-11-01,TN,4.672734
2018-11-01,TX,1.1878685
2018-11-01,UT,0.7683981
2018-11-01,VA,4.199444
2018-11-01,WA,3.6890512
2018-11-01,WI,1.8356417
2018-11-01,WV,3.6064553
2018-11-01,WY,0.6736009
2018-12-01,AK,2.518427
2018-12-01,AL,8.630643
2018-12-01,AR,5.6784825
2018-12-01,AZ,0.46485344
2018-12-01,CA,2.2615929
2018-12-01,CO,0.5404949
2018-12-01,FL,3.7951725
2018-12-01,GA,8.705963
2018-12-01,IA,2.8085904
2018-12-01,ID,1.5406663
2018-12-01,IL,3.8299055
2018-12-01,IN,3.9382944
2018-12-01,KS,1.7624546
2018-12-01,MD,4.3835454
2018-12-01,ME,3.3063712
2018-12-01,MI,2.22031
2018-12-01,MN,1.0391881
2018-12-01,MO,3.27631
2018-12-01,MS,7.293386
2018-12-01,MT,0.715436
2018-12-01,NC,4.856875
2018-12-01,ND,0.57531506
2018-12-01,NE,1.826178
2018-12-01,NH,3.7794418
2018-12-01,NM,0.54101044
2018-12-01,NV,1.2601416
2018-12-01,NY,4.5637145
2018-12-01,OH,3.6814709
2018-12-01,OK,2.7789245
2018-12-01,OR,4.0570846
2018-12-01,PA,4.2231994
2018-12-01,SC,6.516118
2018-12-01,SD,1.0077448
2018-12-01,TN,5.5584064
2018-12-01,TX,3.0958495
2018-12-01,UT,0.5367715
2018-12-01,VA,3.5887787
2018-12-01,WA,4.023184
2018-12-01,WI,1.9690472
2018-12-01,WV,4.2794433
2018-12-01,WY,0.3169018
2019-01-01,AK,1.5615561
2019-01-01,AL,4.851369
2019-01-01,AR,3.5476398
2019-01-01,AZ,1.0102384
2019-01-01,CA,3.641148
2019-01-01,CO,0.9271922
2019-01-01,FL,3.437437
2019-01-01,GA,4.64021
2019-01-01,IA,1.7637911
2019-01-01,ID,1.6273235
2019-01-01,IL,2.7161288
2019-01-01,IN,2.5488052
2019-01-01,KS,0.9669917
2019-01-01,MD,2.9594061
2019-01-01,ME,4.2512007
2019-01-01,MI,2.0394104
2019-01-01,MN,0.46329707
2019-01-01,MO,2.2005076
2019-01-01,MS,4.8057146
2019-01-01,MT,0.7592615
2019-01-01,NC,3.2634637
2019-01-01,ND,0.4714018
2019-01-01,NE,0.31339023
2019-01-01,NH,4.7689977
2019-01-01,NM,0.5609207
2019-01-01,NV,1.545065
2019-01-01,NY,4.602003
2019-01-01,OH,2.7062557
2019-01-01,OK,1.7299771
2019-01-01,OR,3.7475426
2019-01-01,PA,3.6946368
2019-01-01,SC,3.749573
2019-01-01,SD,0.3848375
2019-01-01,TN,4.160882
2019-01-01,TX,1.5000504
2019-01-01,UT,1.1727157
2019-01-01,VA,2.229569
2019-01-01,WA,2.8805547
2019-01-01,WI,1.5393182
2019-01-01,WV,2.6447299
2019-01-01,WY,0.4676787
2019-02-01,AK,1.8325638
2019-02-01,AL,4.976079
2019-02-01,AR,5.8525467
2019-02-01,AZ,1.7511641
2019-02-01,CA,5.306829
2019-02-01,CO,1.2618314
2019-02-01,FL,2.0263743
2019-02-01,GA,3.4172251
2019-02-01,IA,2.9711967
2019-02-01,ID,2.4228108
2019-02-01,IL,4.1255198
2019-02-01,IN,4.5039353
2019-02-01,KS,1.0276674
2019-02-01,MD,4.027748
2019-02-01,ME,3.0907686
2019-02-01,MI,4.416666
2019-02-01,MN,1.2480985
2019-02-01,MO,2.7607532
2019-02-01,MS,6.122736
2019-02-01,MT,1.4021717
2019-02-01,NC,4.828457
2019-02-01,ND,1.0010464
2019-02-01,NE,0.89084727
2019-02-01,NH,3.219754
2019-02-01,NM,0.7875623
2019-02-01,NV,2.6335595
2019-02-01,NY,3.4064374
2019-02-01,OH,4.9309807
2019-02-01,OK,1.3312907
2019-02-01,OR,5.971058
2019-02-01,PA,3.7387087
2019-02-01,SC,2.469199
2019-02-01,SD,0.93470335
2019-02-01,TN,9.402716
2019-02-01,TX,1.0815709
2019-02-01,UT,1.6122705
2019-02-01,VA,3.4397547
2019-02-01,WA,3.1031055
2019-02-01,WI,3.1685517
2019-02-01,WV,5.545535
2019-02-01,WY,0.65165436
2019-03-01,AK,1.546151
2019-03-01,AL,2.6936822
2019-03-01,AR,3.2293348
2019-03-01,AZ,0.9439881
2019-03-01,CA,2.8026311
2019-03-01,CO,1.9847264
2019-03-01,FL,1.4120337
2019-03-01,GA,2.7009275
2019-03-01,IA,2.461897
2019-03-01,ID,0.8867215
2019-03-01,IL,3.5731783
2019-03-01,IN,3.328483
2019-03-01,KS,1.656819
2019-03-01,MD,3.452941
2019-03-01,ME,2.133275
2019-03-01,MI,1.9516925
2019-03-01,MN,1.7387769
2019-03-01,MO,3.5820217
2019-03-01,MS,2.41056
2019-03-01,MT,0.42394596
2019-03-01,NC,2.599241
2019-03-01,ND,0.5672986
2019-03-01,NE,2.283036
2019-03-01,NH,1.7285714
2019-03-01,NM,1.0961145
2019-03-01,NV,1.8019818
2019-03-01,NY,2.3170223
2019-03-01,OH,3.0580423
2019-03-01,OK,2.223432
2019-03-01,OR,2.2485383
2019-03-01,PA,2.635677
2019-03-01,SC,2.2781448
2019-03-01,SD,1.6840636
2019-03-01,TN,3.1468678
2019-03-01,TX,0.98777163
2019-03-01,UT,1.982297
2019-03-01,VA,2.3662212
2019-03-01,WA,1.4240168
2019-03-01,WI,1.4233896
2019-03-01,WV,2.100861
2019-03-01,WY,1.110547
2019-04-01,AK,0.9883955
2019-04-01,AL,5.3056107
2019-04-01,AR,6.2102914
2019-04-01,AZ,0.36199003
2019-04-01,CA,1.1161973
2019-04-01,CO,1.2502345
2019-04-01,FL,2.161259
2019-04-01,GA,4.084829
2019-04-01,IA,2.9800072
2019-04-01,ID,2.071208
2019-04-01,IL,4.2613993
2019-04-01,IN,4.522375
2019-04-01,KS,1.8636621
2019-04-01,MD,2.9827867
2019-04-01,ME,4.321558
2019-04-01,MI,3.639411
2019-04-01,MN,2.2015104
2019-04-01,MO,4.2803574
2019-04-01,MS,7.163217
2019-04-01,MT,1.55948
2019-04-01,NC,4.1887918
2019-04-01,ND,1.305257
2019-04-01,NE,1.3437278
2019-04-01,NH,4.181367
2019-04-01,NM,0.74589825
2019-04-01,NV,1.1064445
2019-04-01,NY,4.478557
2019-04-01,OH,3.7916422
2019-04-01,OK,4.0046206
2019-04-01,OR,3.5468514
2019-04-01,PA,3.3435636
2019-04-01,SC,3.2523654
2019-04-01,SD,1.8246193
2019-04-01,TN,4.678634
2019-04-01,TX,3.3213766
2019-04-01,UT,1.670872
2019-04-01,VA,3.1831925
2019-04-01,WA,2.2608166
2019-04-01,WI,3.2285087
2019-04-01,WV,3.0927377
2019-04-01,WY,1.5817391
2019-05-01,AK,1.3612709
2019-05-01,AL,2.918678
2019-05-01,AR,7.104738
2019-05-01,AZ,0.80868167
2019-05-01,CA,1.5957631
2019-05-01,CO,1.9112374
2019-05-01,FL,3.1868224
2019-05-01,GA,1.9265449
2019-05-01,IA,7.9450874
2019-05-01,ID,1.9571317
2019-05-01,IL,5.476819
2019-05-01,IN,4.5323696
2019-05-01,KS,7.6764126
2019-05-01,MD,4.4003587
2019-05-01,ME,2.8871567
2019-05-01,MI,3.885701
2019-05-01,MN,3.5619187
2019-05-01,MO,6.8647013
2019-05-01,MS,5.0702944
2019-05-01,MT,2.0177798
2019-05-01,NC,2.6669695
